,title,domestic_gross,foreign_gross,total_gross
444,30 Minutes or Less,37100000.0,3500000.0,40600000.0
445,The Roommate,37300000.0,3200000.0,40500000.0
446,Shark Night 3D,18900000.0,21300000.0,40200000.0
447,Monte Carlo,23200000.0,16500000.0,39700000.0
448,50/50,35000000.0,4200000.0,39200000.0
449,Mars Needs Moms,21400000.0,17600000.0,39000000.0
450,Dream House,21300000.0,17200000.0,38500000.0
451,Jumping the Broom,37300000.0,415000.0,37715000.0
452,Don't Be Afraid of the Dark,24000000.0,12900000.0,36900000.0
453,RA One,2500000.0,33400000.0,35900000.0
454,A Very Harold & Kumar 3D Christmas,35100000.0,326000.0,35426000.0
455,My Week with Marilyn,14600000.0,20500000.0,35100000.0
456,The Sitter,30400000.0,4500000.0,34900000.0
457,Jane Eyre,11200000.0,23500000.0,34700000.0
459,Shaolin,66100.0,33600000.0,33666100.0
460,African Cats,15400000.0,15400000.0,30800000.0
461,The Skin I Live In,3200000.0,27700000.0,30900000.0
462,I Don't Know How She Does It,9700000.0,20900000.0,30600000.0
463,What's Your Number?,14000000.0,16399999.0,30399999.0
464,Drive Angry,10700000.0,18200000.0,28900000.0
465,Carnage (2011),2500000.0,25100000.0,27600000.0
466,A Dangerous Method,5700000.0,21800000.0,27500000.0
467,The Thing (2011),16900000.0,10500000.0,27400000.0
468,The Eagle,19500000.0,7600000.0,27100000.0
469,Legend of the Fist: The Return of Chen Zhen,50400.0,26500000.0,26550400.0
470,Apollo 18,17700000.0,7900000.0,25600000.0
471,Biutiful,5100000.0,20000000.0,25100000.0
472,Your Highness,21600000.0,3300000.0,24900000.0
474,The Rum Diary,13100000.0,10800000.0,23900000.0
475,The Women on the 6th Floor,720000.0,22500000.0,23220000.0
476,Potiche,1600000.0,21600000.0,23200000.0
477,Warrior,13700000.0,9400000.0,23100000.0
478,Young Adult,16300000.0,6600000.0,22900000.0
479,Sarah's Key,7700000.0,13400000.0,21100000.0
480,The Way Back,2700000.0,17600000.0,20300000.0
481,A Separation,7100000.0,12800000.0,19900000.0
482,The Guard,5400000.0,14200000.0,19600000.0
483,Margin Call,5400000.0,14200000.0,19600000.0
484,Glee The 3D Concert Movie,11900000.0,6800000.0,18700000.0
485,Shame,3900000.0,13800000.0,17700000.0
486,13 Assassins,803000.0,16800000.0,17603000.0
487,Hoodwinked Too! Hood vs. Evil,10100000.0,6800000.0,16900000.0
488,The Heir Apparent: Largo Winch,10400.0,16900000.0,16910400.0
489,The Last Godfather,164000.0,16600000.0,16764000.0
490,Delhi Belly,1500000.0,15200000.0,16700000.0
491,Melancholia,3000000.0,12900000.0,15900000.0
492,Judy Moody and the NOT Bummer Summer,15000000.0,678000.0,15678000.0
493,The Conspirator,11500000.0,3900000.0,15400000.0
494,Anonymous,4500000.0,10900000.0,15400000.0
495,Ip Man 2: Legend of the Grandmaster,206000.0,14900000.0,15106000.0
496,The Housemaid,158000.0,14600000.0,14758000.0
497,Desert Flower,44300.0,14600000.0,14644300.0
498,Pina,3500000.0,11100000.0,14600000.0
499,Beginners,5800000.0,8500000.0,14300000.0
500,My Afternoons with Margueritte,667000.0,13600000.0,14267000.0
501,I Saw the Devil,129000.0,12600000.0,12729000.0
502,The Hedgehog,708000.0,12000000.0,12708000.0
503,Gainsbourg: A Heroic Life,233000.0,12000000.0,12233000.0
504,The Warring States,69000.0,11800000.0,11869000.0
505,What Women Want (Wo Zhi Nu Run Xin),124000.0,11700000.0,11824000.0
506,Snow Flower and the Secret Fan,1300000.0,10000000.0,11300000.0
507,Win Win,10200000.0,652000.0,10852000.0
508,Flying Monsters,5700000.0,5100000.0,10800000.0
509,City of Life and Death,123000.0,10600000.0,10723000.0
510,Le Havre,612000.0,9900000.0,10512000.0
513,In a Better World,1000000.0,8600000.0,9600000.0
